method,metric,mean,std,n
Parzen,synthetic_ISE,0.003295061754272356,0.0002845064508622108,20
k-NN,synthetic_ISE,0.00295073039152971,0.0002885538683726165,20
GMM,synthetic_ISE,0.0005662181891789101,0.00019855088005454283,20
PNN,synthetic_ISE,0.0032410376538658013,0.00028187900521063646,20
Parzen,synthetic_loglik,-3.5394238966653893,0.01278920018441152,20
k-NN,synthetic_loglik,-3.576089968315631,0.014601864953121402,20
GMM,synthetic_loglik,-3.4646085491794487,0.018170123285210556,20
PNN,synthetic_loglik,-3.546755652028433,0.014238266112898447,20
Parzen,faithful_loglik,-4.467320491654231,0.08980131402671025,10
k-NN,faithful_loglik,-5.0002965806947035,0.26044057236253637,10
GMM,faithful_loglik,-4.203027933109218,0.17337561733716728,10
PNN,faithful_loglik,-4.461806865436863,0.08856421278660022,10
