seed,method,ise,test_loglik
20252026,Parzen,0.00326527846743962,-3.54308256873283
20252026,k-NN,0.0028543320001066107,-3.579395266931209
20252026,GMM,0.00039646388348660473,-3.4637859517277674
20252026,PNN,0.0029943424032065832,-3.5214075809218186
20252027,Parzen,0.0031472451531999223,-3.539851168907826
20252027,k-NN,0.0027533986476568,-3.5756586683108167
20252027,GMM,0.0006823803524974361,-3.474230775479061
20252027,PNN,0.0031310648960933105,-3.55084523628973
20252028,Parzen,0.003006498934347384,-3.536294289201513
20252028,k-NN,0.002499402334883011,-3.576429946299985
20252028,GMM,0.0006745278316676906,-3.466797262323209
20252028,PNN,0.0029791063332813184,-3.553154481059862
20252029,Parzen,0.0031968933859656463,-3.533981211960592
20252029,k-NN,0.002852946983874868,-3.5757529214822945
20252029,GMM,0.00047944994964901997,-3.456309301015741
20252029,PNN,0.0031929194455743875,-3.5469212049084122
20252030,Parzen,0.0028783751950476953,-3.520289681948506
20252030,k-NN,0.002817904157669857,-3.5688170343939802
20252030,GMM,0.00034723373684546503,-3.444983011520818
20252030,PNN,0.002834108679953885,-3.525288845842604
20252031,Parzen,0.003714313407765375,-3.5449683453777263
20252031,k-NN,0.003261601788394944,-3.5795014930798006
20252031,GMM,0.0006057100528065653,-3.4653320147401128
20252031,PNN,0.0036750428742808303,-3.5557557452546265
20252032,Parzen,0.0032148253912802653,-3.5421198558556344
20252032,k-NN,0.0028680621402708325,-3.5894450256830353
20252032,GMM,0.000491658854924177,-3.4758440749108788
20252032,PNN,0.0031112637886268313,-3.5466075188611925
20252033,Parzen,0.002824127993533776,-3.528145379829106
20252033,k-NN,0.002551134735616498,-3.5598215953319636
20252033,GMM,0.0007952888545568087,-3.466129012608458
20252033,PNN,0.0027836529266103767,-3.541742032813553
20252034,Parzen,0.003219322104133172,-3.5477133785868626
20252034,k-NN,0.0024679721820179495,-3.579841245138221
20252034,GMM,0.0004092530302856683,-3.4762223075500973
20252034,PNN,0.0030920886491090102,-3.547395474495521
20252035,Parzen,0.0033892544620585966,-3.5245118996597578
20252035,k-NN,0.0033687709294432204,-3.5612674928511994
20252035,GMM,0.00035375932390942905,-3.433123024216306
20252035,PNN,0.0033687950504311063,-3.537253103636543
20252036,Parzen,0.0030110392854594036,-3.5176331967116554
20252036,k-NN,0.0030011534135989627,-3.5524982795001683
20252036,GMM,0.000518159125928909,-3.4301308825051033
20252036,PNN,0.0029557463896268633,-3.5191968640391695
20252037,Parzen,0.003544571679138552,-3.519546105651711
20252037,k-NN,0.0030731360754511754,-3.535625860307799
20252037,GMM,0.0007226200960409198,-3.4230347602689664
20252037,PNN,0.0035194617650591534,-3.532051646045902
20252038,Parzen,0.0038602379086044945,-3.5612497008281228
20252038,k-NN,0.003213517317564146,-3.5935422774307018
20252038,GMM,0.0006691528106245858,-3.4759431327037613
20252038,PNN,0.0037377239595139987,-3.559602196914706
20252039,Parzen,0.0032027956866282066,-3.544006354484551
20252039,k-NN,0.0032240073286780055,-3.5815871108345494
20252039,GMM,0.0002578129295522191,-3.4723139700996772
20252039,PNN,0.00311987944100888,-3.5502993494912074
20252040,Parzen,0.00311969250825775,-3.5342369902840067
20252040,k-NN,0.002867572460982768,-3.575315857191764
20252040,GMM,0.0009929740264116246,-3.4746491972232034
20252040,PNN,0.0031159963864113563,-3.548967197525749
20252041,Parzen,0.0032066030358478006,-3.549567451090922
20252041,k-NN,0.00294993995712963,-3.592492058810649
20252041,GMM,0.0006224439637844546,-3.4905391104692653
20252041,PNN,0.003334530173463126,-3.577319561318362
20252042,Parzen,0.003782256660573712,-3.559948871656513
20252042,k-NN,0.003344242744664224,-3.5899232123882574
20252042,GMM,0.0004950033116402256,-3.4821981381874862
20252042,PNN,0.003699053528642416,-3.5551087422487
20252043,Parzen,0.003333050189298104,-3.555193727430832
20252043,k-NN,0.002763903776942798,-3.587959414727664
20252043,GMM,0.00038395468537484546,-3.4776720298328128
20252043,PNN,0.003277856536316259,-3.562753777394393
20252044,Parzen,0.0035366928325338653,-3.538672706362715
20252044,k-NN,0.003458383677286275,-3.588899156486499
20252044,GMM,0.0009486708061435483,-3.474042832327563
20252044,PNN,0.003498747342108647,-3.54807672651518
20252045,Parzen,0.003448160804333787,-3.5474650487464077
20252045,k-NN,0.0028232251783616162,-3.5780254491320593
20252045,GMM,0.0004778461574480044,-3.468890193878692
20252045,PNN,0.003399372507997688,-3.555365754991447
