method,n_train,n_query,fit_time_s,query_time_s
Parzen,100,2000,5.6104036048054695e-05,0.0019050660193897784
k-NN,100,2000,3.635010216385126e-06,0.0009511800017207861
GMM,100,2000,0.08420724503230304,0.0005866830470040441
PNN,100,2000,1.7166027309722267,0.00037455401616171
Parzen,500,2000,6.960501195862889e-05,0.006619631021749228
k-NN,500,2000,4.8470101319253445e-06,0.0038490219740197062
GMM,500,2000,0.062272384006064385,0.0005153750535100698
PNN,500,2000,2.1614829630125314,0.00041273096576333046
Parzen,1000,2000,8.170201908797026e-05,0.01805382897146046
k-NN,1000,2000,6.33997842669487e-06,0.009327167004812509
GMM,1000,2000,0.14491860999260098,0.0005465720314532518
PNN,1000,2000,3.3829463369911537,0.00041533500188961625
Parzen,5000,2000,0.00023496296489611268,0.11272374901454896
k-NN,5000,2000,7.650989573448896e-06,0.056117320025805384
GMM,5000,2000,0.34907049901084974,0.0006011350196786225
PNN,5000,2000,10.20678978000069,0.00038111303001642227
